,title,org,desc
173,Green-Thumbed Gardener,Above and Beyond family Recovery Center,Above and Beyond Family Recovery Center is searching for competent and reliable gardeners to maintain our facility’s community...
174,Plumber,Above and Beyond family Recovery Center,Are you interested in pipes? Does water float your boat? We are looking for humans with heart ( and the stomach) who are interested in...
175,Case Manager,Above and Beyond family Recovery Center,Above and Beyond Family Recovery Center provides free counseling services to one of the most under-served communities in Chicago. Our...
176,Instrument Maintenance,BANDWITH MUSIC LTD,"We need a few volunteers to help us with basic instrument maintenance. Guitars need to be strung and cleaned up, brass instruments need..."
177,Interpreter for Citizenship Interview,Erie Neighborhood House,This is an on-call volunteer position to enhance and brighten your bilingual skills.Volunteer will be willing to go with the applicant on...
178,ESL Volunteer Tutor,Erie Neighborhood House,Help an adult learner to improve his/her conversation in English as a Second Language. 2 hours per week as a minimum. We provide...
179,Small Group ESL Tutor,Erie Neighborhood House,The Community Literacy Program is looking for English as a Second Langugage tutors who are willing to teach a small group. The times and...
180,Part-time Office Assistant,Erie Neighborhood House,Part-time Office Assistant Description Job Brief: The Community Literacy Program at Erie Neighborhood House is looking for a welcoming...
181,Tutor in Chicago Public Schools,Erie Neighborhood House,Volunteer to teach English to parents with our partnerships in Chicago Public Schools. Parents are Spanish native speakers. Free traning...
182,Teaching English To Adults,Erie Neighborhood House,"Tutoring English as a Second Language to adults Helping Adults to improve their vocabulary, pronunciation, reading and writing, and..."
183,Volunteer Office Assistant Saturdays 9 a.m.-12 p.m.,Erie Neighborhood House,Erie Neighborhood House is looking for a volunteer office assistant to come in on Saturdays from 9 a.m. until noon. The volunteer would...
184,Become a Tutor and Mentor to Chicago Youth!,"Chicago Lights Tutoring Program, Fourth...","Celebrating its 55th year of service, Tutoring provides academic support to children living in under-resourced neighborhoods on the near..."
185,Bond With a Youth--Become a Mentor!,Mercy Home for Boys and Girls,Here's a great way to work with kids and make new friends while having a fantastic experience! Mercy Home's Friends First mentoring...
186,Senior Citizen Mentors,Project Education Plus,"We are currently looking for volunteers to present arts, dance, exercise, and/or other opportunities to our seniors. We can also use..."
187,Associate Board,GREEN STAR MOVEMENT NFP,The Green Star Movement Associate Board is a collection of young professionals who serve as ambassadors of Green Star Movement and help...
188,Marketing and Development Committee,GREEN STAR MOVEMENT NFP,"BOARD OF DIRECTORS COMMITTEES We are looking for individuals to serve on the Governance, Program, or Marketing & Development..."
189,Program Committee,GREEN STAR MOVEMENT NFP,"We are looking for individuals to serve on the Governance, Program, or Marketing & Development Committee of our Board of Directors...."
190,Volunteer Chapter Lead - Military Lead and Civilian Leaders Needed!,Blue Star Families,Volunteer Chapter Lead - Military Leaders and Civilian Leaders needed! Have a passion for military families? Looking for a volunteer role...
191,Family Literacy Program Volunteers,Association House of Chicago,The Family Literacy Program provides on-site childcare for the children of the parents who attend Association House High School. We also...
192,Tutoring Incarcerated youth at Illinois Youth Center Chicago,Literacy Volunteers of Illinois,Literacy Volunteers of Illinois' Jump Start program began as an initiative to invite members from the community to tutor incarcerated...
193,Recruiting people for Rescuing Leftover Cuisine's Chicago branch leadership team!,Rescuing Leftover Cuisine Inc,"RLC is opening a branch in Chicago, IL, and we are recruiting people who are interested to be a member of the Chicago Branch's core team...."
194,Auxiliary Board,Association House of Chicago,Join our Auxiliary Board to make a big impact in Chicago! The Association House of Chicago’s young professionals’ board...
195,Host an Exchange Student! - Join Greenheart's Global Family,Greenheart Exchange,Bring the world to your community as a host family with Greenheart Exchange! Families who host exchange students often experience a...
196,Food Pantry Volunteer,Marillac Food Pantry,"Marillac Food Pantry is not only a well established resource for our community, but serves approximately 1,000 families each month. The..."
197,Volunteer to fix fences,Chicago URBAN ART RETREAT Center,We are re-claiming vacant lots and creating Peace Parks. We need helpers who can fix chain link fences. Is that you? We need your help!...
198,Volunteer Medical Assistant / Phlebotomist / Lab Technician,CommunityHealth,"CommunityHealth relies on volunteers to keep all aspects of our volunteer-based free health clinic running, including in our full-service..."
199,Lakeview Pantry @ La Casa Norte,Lakeview Pantry,"Thank you for your interest in volunteering with Lakeview Pantry. Lakeview Pantry sees thousands of volunteers every year, and we are so..."
200,ChiPOP Community Engagement Volunteer,POP ON TEEN VIOLENCE INC,Expanding community engagement within the Northwest Indiana and Chicagoland areas through: 1. Partnering up with local middle school and...
201,ChiPOP Student Engagement Specialist,POP ON TEEN VIOLENCE INC,Recruit and retain interested students through engagement efforts for our program by: 1. Develop a supportive and trusting relationship...
202,Volunteers Needed for Footcare Clinic,Care For Friends,Foot Clinic is a service offered on the third Saturday and last Monday of every month from 10am-12pm. People experiencing homelessness...
203,"Visit Elders with Dementia, Bring Joy and Friendship!",Little Brothers - Friends of the Elderly...,"Little Brothers - Friends of the Elderly's philosophy, programs and activities are focused on alleviating loneliness and isolation among..."
204,Technology Lab Volunteer,Association House of Chicago,Help us bridge Humboldt Park community residents through the digital divide. With only four out of ten residents using broadband or...
205,Golf Classic Committee,The Big Shoulders Fund,Every year the Big Shoulders Fund holds its annual Golf Classic. This year the 14 th Annual Golf Classic is being held at Olympia Fields...
206,Director of Marketing and Communications,MINDS MATTER,Management Team: Director of Marketing & Communications (Marcom) The Director of Marketing & Communications primary goal is to...
207,Corporate or Group Gardening Workdays,Lincoln Park Conservancy,Bring your work or social group out to Lincoln Park to help us restore and maintain the beautiful landscapes and natural areas of this...
208,Lead a Women's Discussion Group,The Boulevard: The Road to Health and Home,What You Can Do: We would love for female volunteers to help facilitate a discussion group for women who live in our transitional housing...
209,Men's Discussion Group Facilitator,The Boulevard: The Road to Health and Home,"Once a week, the male and female residents attend two separate sessions: The Men's Group and The Women's Group. The Men's Group: The..."
210,Share-A-Meal Event (SAM),The Boulevard: The Road to Health and Home,This is our most popular group activity at The Boulevard! http://www.blvd.org Our Share-a-Meal (SAM) program offers the opportunity for a...
211,Donation Drives,The Boulevard: The Road to Health and Home,"Help the residents of The Boulevard with their recovery by hosting a doantion drive! Get your church, school or organzation involved and..."
212,English Tutor,Hanul Family Alliance,"Recruiting Basic English Tutor for Korean Seniors Hanul Family Alliance is looking for volunteers who can teach basic speaking, reading..."
213,Project Onward Part-Time Counselor/Therapist/Psychologist,Project Onward,"Project Onward is a gallery and studio that supports the professional development of artists with exceptional talents and challenges,..."
